city,osm_id,name,highway,lanes,maxspeed,surface,bridge,tunnel,lit,sidewalk,oneway,cycleway,segment_length,segment_width,mean_curvature,aadt,population,classification,city_total_crashes,segment_length_km,crash_rate_per_km
Antipolo,797240837,1st Avenue,tertiary,2,20,asphalt,0,0,1,1,0,0,215.9858692,21.45220072,4.03E-06,39711,887399,Urban,37,0.2159858692,171.3075033
Antipolo,1300589677,2nd Street,tertiary,2,40,concrete,0,0,0,0,1,0,45.35881337,26.89788408,0.02447672431,60733,887399,Urban,37,0.04535881337,815.7179884
Antipolo,229527069,3rd Street,tertiary,2,40,concrete,0,0,0,0,1,0,65.61648851,24.7724313,0.009794226305,28260,887399,Urban,37,0.06561648851,563.8826588
Antipolo,27945885,4th Street,tertiary,2,40,concrete,0,0,0,0,1,0,116.5185454,22.67997013,0.01378199165,29817,887399,Urban,37,0.1165185454,317.546017
Antipolo,27945883,6th Street,tertiary,2,40,concrete,0,0,0,0,0,0,177.3298703,23.66571375,0.0009727849707,23946,887399,Urban,37,0.1773298703,208.6506912
Antipolo,28819598,A. Bonifacio Avenue,secondary,4,60,asphalt,1,0,1,1,1,1,2232.617627,33.10440161,0.002937808803,36983,887399,Urban,37,2.232617627,16.57247509
Antipolo,27906577,A. Bonifacio Street,tertiary,4,40,concrete,0,0,1,1,1,0,649.068053,24.76238357,0.001662319708,28476,887399,Urban,37,0.649068053,57.0048084
Antipolo,883718855,A. M. de Leon Street,tertiary,2,40,concrete,1,0,0,1,1,0,521.6820225,36.16566396,0.0007022396342,22311,887399,Urban,37,0.5216820225,70.92442983
Antipolo,99684272,A. Mabini Street,primary,2,80,asphalt,0,0,1,1,0,0,1668.849287,20.1877098,0.001636815064,28569,887399,Urban,37,1.668849287,22.17096552
Antipolo,51767110,A. Masangkay Street,tertiary,2,40,asphalt,0,0,1,0,1,0,262.7346776,21.19379848,0.0006673073046,32766,887399,Urban,37,0.2627346776,140.8264807
Antipolo,30269565,Abuab Road,tertiary,2,40,concrete,0,0,0,0,0,0,432.510465,20.72516639,0.0007251469589,56233,887399,Urban,37,0.432510465,85.54706301
Antipolo,98690680,Abuab Ⅱ Road,tertiary,2,40,concrete,0,0,0,0,0,0,283.9388006,21.10278437,0.003878676525,30725,887399,Urban,37,0.2839388006,130.3097707
Antipolo,25519546,Accounting Street,tertiary,2,40,concrete,0,0,0,0,0,0,329.6614915,20.9352148,0.006196900981,25852,887399,Urban,37,0.3296614915,112.2363423
Antipolo,26036876,Aguinaldo Street,tertiary,2,40,concrete,0,0,0,0,0,0,526.440909,21.1935027,0.002395169463,20042,887399,Urban,37,0.526440909,70.28329176
Antipolo,26302376,Amang Rodriguez Avenue,tertiary,2,40,concrete,0,0,1,1,1,0,1132.250878,25.95754803,0.01268088756,37635,887399,Urban,37,1.132250878,32.67827009
Antipolo,4709409,Ambrosio F. Neri Street,tertiary,2,20,concrete,0,0,1,0,1,0,1714.489314,20.36439759,0.007462348329,36983,887399,Urban,37,1.714489314,21.58077026
Antipolo,55949422,Antipolo Diversion Road 1,primary,3,80,asphalt,0,0,1,0,1,0,434.3343564,26.49575525,0.01462808147,29817,887399,Urban,37,0.4343343564,85.18782697
Antipolo,115377380,Antipolo Diversion Road 2,primary,2,80,asphalt,0,0,1,0,1,0,346.7161711,28.24291897,0.0004346865099,23946,887399,Urban,37,0.3467161711,106.7155301
Antipolo,171403682,Apollo Street,tertiary,2,40,concrete,0,0,0,0,0,0,164.183807,21.90876377,0.00478112514,39711,887399,Urban,37,0.164183807,225.3571815
Antipolo,30438402,Aquamarine Street,tertiary,2,20,concrete,0,0,1,1,0,1,369.8388446,23.1646982,0.002327347197,60733,887399,Urban,37,0.3698388446,100.0435745
Antipolo,5235848,Armscor Avenue,secondary,2,30,asphalt,0,0,1,1,1,0,504.1168403,20.62046576,0.009152128179,28260,887399,Urban,37,0.5041168403,73.39568339
Antipolo,114637481,Aster Street,tertiary,2,40,concrete,0,0,1,1,0,0,54.33376648,31.54828387,0.009087315155,25852,887399,Urban,37,0.05433376648,680.9761663
Antipolo,30704775,Autumn Extension Street,tertiary,2,20,concrete,0,0,1,1,0,0,50.92101929,26.15963217,0.0007869670252,38125,887399,Urban,37,0.05092101929,726.6154628
Antipolo,29086079,Avenida Tanchoco,tertiary,2,40,concrete,0,0,1,1,1,0,937.7304319,40.58749531,0.0009092659991,22311,887399,Urban,37,0.9377304319,39.45696838
Antipolo,5235844,Azucena Street,tertiary,2,30,concrete,0,0,1,1,0,0,364.2688066,20.86105223,0.0002134939925,39711,887399,Urban,37,0.3642688066,101.5733418
Antipolo,27905622,B. A. Cruz Street,tertiary,2,40,concrete,1,0,0,0,1,0,629.5942049,32.22621552,0.001004326809,36983,887399,Urban,37,0.6295942049,58.76801234
Antipolo,5073937,B. Soliven Avenue,tertiary,2,40,concrete,0,0,0,0,1,0,863.4584047,20.36288622,0.001432342156,25852,887399,Urban,37,0.8634584047,42.85093503
Antipolo,5137967,B. V. Soliven Avenue,secondary,2,60,concrete,1,0,1,0,0,0,217.1786695,30.59983072,0.0006367720968,36128,887399,Urban,37,0.2171786695,170.3666391
Antipolo,5067172,Balite Street,secondary,2,30,asphalt,0,0,1,1,1,0,597.7429774,20.52184615,0.008787388391,25852,887399,Urban,37,0.5977429774,61.89951434
Antipolo,7971852,Balubad Street,tertiary,2,30,asphalt,0,0,1,1,0,0,390.3930668,20.80336954,0.00097278219,28569,887399,Urban,37,0.3903930668,94.77627332
Antipolo,30269453,Bankers Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,954.0419447,21.03460182,0.003654307661,31371,887399,Urban,37,0.9540419447,38.78236193
Antipolo,132508406,Bantay-Pinugay Road,tertiary,2,40,concrete,0,0,0,0,0,0,1321.339205,20.23543546,0.004147700158,22311,887399,Urban,37,1.321339205,28.00189373
Antipolo,50283363,Baras-Pinugay Road,tertiary,2,40,concrete,1,0,0,0,0,0,16476.64291,25.14777756,0.002927700791,36983,887399,Urban,37,16.47664291,2.245603076
Antipolo,144905294,Barcelona Street,tertiary,2,40,concrete,0,0,0,0,0,0,615.8018947,21.48979836,0.0006387037827,25852,887399,Urban,37,0.6158018947,60.08425813
Antipolo,4357062,Bayan-Bayanan Avenue,secondary,4,40,asphalt,1,0,1,1,1,1,1449.233293,31.11397593,0.002284184793,25852,887399,Urban,37,1.449233293,25.5307411
Antipolo,134381163,Bayugo-Buliran Road,tertiary,2,40,concrete,0,0,1,0,1,0,2235.74941,32.67051801,0.003143082936,22311,887399,Urban,37,2.23574941,16.54926077
Antipolo,557498394,Belgium Street,tertiary,2,40,concrete,0,0,0,0,0,0,474.1144729,23.11405805,0.003018522268,25852,887399,Urban,37,0.4741144729,78.0402247
Antipolo,114654397,Bishop Street,tertiary,2,40,concrete,0,0,0,0,0,0,108.5091226,22.88883453,0.006139829314,25852,887399,Urban,37,0.1085091226,340.9851551
Antipolo,5051052,Bon River Street,tertiary,2,40,concrete,0,0,0,0,0,0,385.1030907,25.66582393,0.002471526632,25852,887399,Urban,37,0.3851030907,96.07816944
Antipolo,5051049,Bonanza Street,tertiary,2,40,concrete,0,0,0,0,0,0,456.9108422,20.68431902,0.004032036736,25852,887399,Urban,37,0.4569108422,80.97859929
Antipolo,28321133,Bonifacio Mariano Street,tertiary,2,40,concrete,0,0,0,0,0,0,1147.07852,20.27242108,0.002069606399,38125,887399,Urban,37,1.14707852,32.25585638
Antipolo,204360546,Boso-Boso Road,tertiary,2,40,concrete,0,0,0,0,0,0,2237.478831,20.28895185,0.003531674867,39711,887399,Urban,37,2.237478831,16.5364693
