feature,importance
segment_length_km,0.7339327369527169
population,0.24044746841333703
aadt_curv_interaction,0.007874823806681334
segment_width,0.0069546547827902825
mean_curvature,0.004381902357386352
maxspeed,0.001881719861026918
sidewalk,0.0012381358357882975
lit,0.0007677406697557307
lanes,0.0006090601174457963
highway_secondary,0.0004843263476525588
oneway,0.0004508618354091357
cycleway,0.0003400043187349532
urban,0.00028966324975815704
highway_tertiary,0.00021650947310900492
highway_trunk,8.625813018255193e-05
bridge,4.318775817294258e-05
tunnel,9.460900520817038e-07
