osm_id,composite_risk,priority,other_feature_recommendation
4357072,0.18301299792931128,False,Intervene due to high population
637270100,0.6572856516238539,False,Intervene due to high population
55654761,0.13288491839398567,False,Intervene due to high population
23212247,0.26131628330543555,False,Intervene due to high population
30614940,0.18753219317119876,False,Intervene due to high population
275299485,0.1847285832703008,False,Intervene due to high population
47418240,0.6646926958313045,False,Intervene due to high population
388985773,1.2586242593973611,True,Intervene due to high population
45095313,0.09942116003494346,False,Intervene due to high population
102155148,0.3028882235705779,False,Intervene due to high population
103387665,0.049207655603367755,False,Intervene due to high population
116553679,0.41738138054815677,False,Intervene due to high population
124691529,0.3854114889251106,False,Intervene due to high population
67200769,0.5664673502486541,False,Intervene due to high population
38663728,0.30213001916130355,False,Intervene due to high population
596568239,0.04711830285074399,False,Intervene due to high population
732916981,0.2102917523117807,False,Intervene due to high population
157402555,0.8196083925489233,True,Intervene due to high population
80216589,0.04751544438173337,False,Intervene due to high population
263321260,0.32966513077380144,False,Intervene due to high population
48115044,0.016713908200883736,False,Intervene due to high aadt_curv_interaction
259915558,0.39487529241745095,False,Intervene due to high population
109201331,0.10666234216155163,False,Intervene due to high population
98123748,0.402637648954376,False,Intervene due to high population
124339691,0.34908465949275413,False,Intervene due to high population
317104847,0.14345195152475676,False,Intervene due to high population
34942238,1.098251154731481,True,Intervene due to high population
148284280,0.28915498106532006,False,Intervene due to high population
29177253,1.0261848996479024,True,Intervene due to high population
31656740,0.34783737658523955,False,Intervene due to high segment_length_km
4357068,0.5738255387676683,False,Intervene due to high population
532958223,0.5663713600174675,False,Intervene due to high population
151816018,0.5680167845540995,False,Intervene due to high population
946196369,1.067237285138702,True,Intervene due to high population
130101691,0.25563406102083386,False,Intervene due to high population
539934647,1.114526410235569,True,Intervene due to high population
1178699392,0.03282014150687506,False,Intervene due to high population
56243343,0.3908236745425113,False,Intervene due to high population
1089074095,0.16663173843555995,False,Intervene due to high population
439830685,0.14813068280270136,False,Intervene due to high population
380038046,0.17737215120088443,False,Intervene due to high population
4935817,0.5712292476355445,False,Intervene due to high population
135843923,0.3748144440809254,False,Intervene due to high population
1082504224,0.03145234167080296,False,Intervene due to high aadt_curv_interaction
23977308,0.05717138079529116,False,Intervene due to high segment_length_km
28775973,0.5685830123183501,False,Intervene due to high population
235499038,0.04594420517439111,False,Intervene due to high population
29493102,0.20969986477868566,False,Intervene due to high population
206490656,0.010808264436817358,False,Intervene due to high segment_length_km
28533687,0.324224906029859,False,Intervene due to high population
846584622,0.36608451804022973,False,Intervene due to high aadt_curv_interaction
621411304,0.6833613678986257,False,Intervene due to high population
938462472,1.0666656512516481,True,Intervene due to high aadt_curv_interaction
98690680,0.21841525435883616,False,Intervene due to high population
154271429,0.2901950988088487,False,Intervene due to high population
267606597,0.07387309906183256,False,Intervene due to high population
53729048,0.639795695610682,False,Intervene due to high population
53627678,0.401077985366814,False,Intervene due to high population
29495262,0.16789753273471603,False,Intervene due to high population
728191513,0.026823687587602126,False,Intervene due to high population
28552791,0.567922808829069,False,Intervene due to high population
106993209,0.221823623957881,False,Intervene due to high population
62103039,0.6377695992957569,False,Intervene due to high population
152830383,0.19437446305376335,False,Intervene due to high segment_length_km
30265146,0.8669062216337018,True,Intervene due to high population
160192382,0.5645815305567062,False,Intervene due to high population
24636221,0.015871743208489664,False,Intervene due to high segment_length_km
32806735,0.1813002886242952,False,Intervene due to high population
28188700,0.5700047990347933,False,Intervene due to high population
51339480,0.11816668247325346,False,Intervene due to high population
1300589677,0.7951118226328941,False,Intervene due to high aadt_curv_interaction
4896186,0.6071483966300872,False,Intervene due to high population
47409980,0.4161469957164516,False,Intervene due to high aadt_curv_interaction
28868605,1.0589337459890495,True,Intervene due to high population
4910276,0.5649416225309647,False,Intervene due to high population
370822568,0.30747517165240223,False,Intervene due to high population
199028571,0.1735696871817229,False,Intervene due to high population
35116100,1.0064246445352474,True,Intervene due to high population
831635292,0.11800721201743715,False,Intervene due to high population
35776890,0.6451444610680837,False,Intervene due to high population
82162396,0.6513678466644985,False,Intervene due to high population
23959195,1.0070322896213901,True,Intervene due to high population
88191025,0.1520389710011741,False,Intervene due to high population
92512309,0.16020810543471145,False,Intervene due to high population
513164628,1.0634006200443604,True,Intervene due to high population
30069089,0.19982511651702645,False,Intervene due to high population
80482765,0.6424703917901204,False,Intervene due to high population
68453926,0.8626392526237313,True,Intervene due to high population
130503865,0.2973376861329389,False,Intervene due to high population
1293303904,0.40608580547408635,False,Intervene due to high population
23212320,0.5806500078275126,False,Intervene due to high population
80677124,0.8628632827430776,True,Intervene due to high population
1304736613,0.15474949146493297,False,Intervene due to high population
1391081455,0.39403218109092303,False,Intervene due to high population
22979738,0.566405588652254,False,Intervene due to high population
22952883,0.5939622535846371,False,Intervene due to high population
547223474,1.0853979460457202,True,Intervene due to high population
109340334,1.0929775239263826,True,Intervene due to high population
687923745,0.26210994751273303,False,Intervene due to high population
166905339,0.28266242540240993,False,Intervene due to high population
90610186,0.14382228118849896,False,Intervene due to high population
27086361,1.4318712615462001,True,Intervene due to high segment_length_km
166220880,0.07871439314319127,False,Intervene due to high population
23747127,0.5689422465270069,False,Intervene due to high population
1010879848,0.39885183982605604,False,Intervene due to high population
55822155,0.12878287737005092,False,Intervene due to high population
68310849,0.40319617150286546,False,Intervene due to high population
85049443,0.46208262751721224,False,Intervene due to high population
94081019,0.6353536738205421,False,Intervene due to high population
553976430,0.23327698281818787,False,Intervene due to high population
25845123,0.21441332953869546,False,Intervene due to high population
26302583,0.35841417385705926,False,Intervene due to high aadt_curv_interaction
23520669,0.12373652975936271,False,Intervene due to high aadt_curv_interaction
