osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
4357072,40,tertiary,Urban,,,,,,,,,,
637270100,30,trunk,Urban,,,,,,,,,,
55654761,30,tertiary,Urban,,,,,,,,,,
23212247,40,tertiary,Urban,,,,,,,,,,
30614940,20,tertiary,Urban,,,,,,,,,,
275299485,40,tertiary,Urban,,,,,,,,,,
47418240,40,tertiary,Urban,,,,,,,,,,
388985773,60,secondary,Urban,,,,,,,,,,
45095313,20,tertiary,Urban,,,,,,,,,,
102155148,15,tertiary,Urban,,,,,,,,,,
103387665,40,tertiary,Rural,,,,,,,,,,
116553679,40,tertiary,Urban,,,,,,,,,,
124691529,40,secondary,Urban,,,,,,,,,,
67200769,40,tertiary,Urban,,,,,,,,,,
38663728,40,tertiary,Urban,,,,,,,,,,
596568239,60,secondary,Urban,,,,,,,,,,
732916981,40,tertiary,Rural,,,,,,,,,,
157402555,40,tertiary,Urban,,,,,,,,,,
80216589,40,primary,Urban,,,,,,,,,,
263321260,40,tertiary,Urban,,,,,,,,,,
48115044,30,tertiary,Rural,,,,,,,,,,
259915558,30,tertiary,Urban,,,,,,,,,,
109201331,30,tertiary,Urban,,,,,,,,,,
98123748,30,tertiary,Urban,,,,,,,,,,
124339691,40,tertiary,Urban,,,,,,,,,,
317104847,50,secondary,Urban,,,,,,,,,,
34942238,60,secondary,Urban,,,,,,,,,,
148284280,40,tertiary,Urban,,,,,,,,,,
29177253,40,tertiary,Urban,,,,,,,,,,
31656740,60,trunk,Urban,,,,,,,,,,
4357068,30,tertiary,Urban,,,,,,,,,,
532958223,40,tertiary,Urban,,,,,,,,,,
151816018,30,tertiary,Urban,,,,,,,,,,
946196369,60,tertiary,Urban,,,,,,,,,,
130101691,80,tertiary,Urban,,,,,,,,,,
539934647,60,tertiary,Urban,,,,,,,,,,
1178699392,30,primary,Urban,,,,,,,,,,
56243343,40,tertiary,Urban,,,,,,,,,,
1089074095,30,tertiary,Urban,,,,,,,,,,
439830685,40,tertiary,Urban,,,,,,,,,,
380038046,40,tertiary,Urban,,,,,,,,,,
4935817,20,tertiary,Urban,,,,,,,,,,
135843923,40,tertiary,Urban,,,,,,,,,,
1082504224,30,secondary,Rural,,,,,,,,,,
23977308,40,primary,Rural,,,,,,,,,,
28775973,40,secondary,Urban,,,,,,,,,,
235499038,40,tertiary,Rural,,,,,,,,,,
29493102,30,tertiary,Urban,,,,,,,,,,
206490656,40,secondary,Rural,,,,,,,,,,
28533687,40,primary,Urban,,,,,,,,,,
846584622,40,tertiary,Urban,,,,,,,,,,
621411304,50,trunk,Urban,,,,,,,,,,
938462472,30,secondary,Urban,,,,,,,,,,
98690680,40,tertiary,Urban,,,,,,,,,,
154271429,40,tertiary,Urban,,,,,,,,,,
267606597,40,tertiary,Urban,,,,,,,,,,
53729048,40,tertiary,Urban,,,,,,,,,,
53627678,40,tertiary,Urban,,,,,,,,,,
29495262,30,tertiary,Urban,,,,,,,,,,
728191513,40,tertiary,Rural,,,,,,,,,,
28552791,30,tertiary,Urban,,,,,,,,,,
106993209,80,trunk,Urban,,,,,,,,,,
62103039,30,tertiary,Urban,,,,,,,,,,
152830383,60,secondary,Urban,,,,,,,,,,
30265146,50,trunk,Urban,,,,,,,,,,
160192382,30,tertiary,Urban,,,,,,,,,,
24636221,40,tertiary,Rural,,,,,,,,,,
32806735,40,tertiary,Urban,,,,,,,,,,
28188700,40,tertiary,Urban,,,,,,,,,,
51339480,30,tertiary,Urban,,,,,,,,,,
1300589677,40,tertiary,Urban,,,,,,,,,,
4896186,60,secondary,Urban,,,,,,,,,,
47409980,40,tertiary,Urban,,,,,,,,,,
28868605,40,tertiary,Urban,,,,,,,,,,
4910276,20,tertiary,Urban,,,,,,,,,,
370822568,40,tertiary,Urban,,,,,,,,,,
199028571,40,tertiary,Urban,,,,,,,,,,
35116100,40,tertiary,Urban,,,,,,,,,,
831635292,30,tertiary,Urban,,,,,,,,,,
35776890,40,tertiary,Urban,,,,,,,,,,
82162396,40,secondary,Urban,,,,,,,,,,
23959195,30,secondary,Urban,,,,,,,,,,
88191025,40,tertiary,Urban,,,,,,,,,,
92512309,40,tertiary,Rural,,,,,,,,,,
513164628,60,tertiary,Urban,,,,,,,,,,
30069089,30,tertiary,Urban,,,,,,,,,,
80482765,40,tertiary,Urban,,,,,,,,,,
68453926,80,trunk,Urban,,,,,,,,,,
