feature,importance
segment_length_km,0.53014344
population,0.2942011
highway_trunk,0.101335995
urban,0.013953029
surface_concrete,0.012123786
segment_width,0.008593612
sidewalk,0.006798177
lit,0.0067957747
highway_secondary,0.0056464016
bridge,0.0052630235
oneway,0.0040247897
surface_paved,0.0037215576
maxspeed,0.0020366577
aadt_curv_interaction,0.0016620631
lanes,0.0012845462
mean_curvature,0.0012467108
cycleway,0.00059548847
surface_other,0.00034944393
highway_tertiary,0.000104738116
surface_gravel,6.798027e-05
tunnel,4.446912e-05
surface_unpaved,7.134395e-06
surface_metal,0.0
