highway,classification,mean_gap,median_gap,pct_within_5,pct_within_10,reduction_pct
primary,Rural,-40.0,-40.0,0.0,0.0,10
primary,Urban,-15.0,-10.0,0.0,0.02247191011235955,10
secondary,Rural,-7.777778159160795,-20.0,0.02564102564102564,0.05128205128205128,10
secondary,Urban,5.999999100770964,19.999998280794003,0.004901960784313725,0.014705882352941176,10
tertiary,Rural,5.999999656159156,0.0,0.047619047619047616,0.06349206349206349,10
tertiary,Urban,1.617646761726914,-2.181039349125058e-07,0.028169014084507043,0.04381846635367762,10
trunk,Rural,0.0,-10.0,0.0,0.16666666666666666,10
trunk,Urban,-3.333333906401355,0.0,0.03225806451612903,0.06451612903225806,10
primary,Rural,-40.0,-40.0,0.0,0.0,20
primary,Urban,-23.333333333333332,-30.0,0.0,0.011235955056179775,20
secondary,Rural,-16.250000214900673,-20.0,0.02564102564102564,0.05128205128205128,20
secondary,Urban,-8.596026397356127e-07,4.999999140396881,0.0,0.004901960784313725,20
tertiary,Rural,9.999999140398003,9.999999140398003,0.015873015873015872,0.015873015873015872,20
tertiary,Urban,2.916666490973752,4.999999709208492,0.006259780907668232,0.014084507042253521,20
trunk,Rural,-15.0,-15.0,0.0,0.16666666666666666,20
trunk,Urban,,,0.0,0.0,20
primary,Rural,-40.0,-40.0,0.0,0.0,30
primary,Urban,-40.0,-40.0,0.0,0.0,30
secondary,Rural,-20.0,-20.0,0.0,0.0,30
secondary,Urban,-5.000000859602164,-5.000000859602164,0.0,0.0,30
tertiary,Rural,0.0,0.0,0.015873015873015872,0.015873015873015872,30
tertiary,Urban,2.499999800078557,9.99999970920889,0.0,0.003129890453834116,30
trunk,Rural,-15.0,-15.0,0.0,0.16666666666666666,30
trunk,Urban,,,0.0,0.0,30
primary,Rural,-40.0,-40.0,0.0,0.0,40
primary,Urban,-40.0,-40.0,0.0,0.0,40
secondary,Rural,-20.0,-20.0,0.0,0.0,40
secondary,Urban,19.999998280795815,19.999998280795815,0.0,0.0,40
tertiary,Rural,0.0,0.0,0.015873015873015872,0.015873015873015872,40
tertiary,Urban,13.333332810711505,9.999999781896918,0.0,0.001564945226917058,40
trunk,Rural,-15.0,-15.0,0.0,0.16666666666666666,40
trunk,Urban,,,0.0,0.0,40
primary,Rural,-40.0,-40.0,0.0,0.0,50
primary,Urban,-40.0,-40.0,0.0,0.0,50
secondary,Rural,-20.0,-20.0,0.0,0.0,50
secondary,Urban,,,0.0,0.0,50
tertiary,Rural,,,0.0,0.0,50
tertiary,Urban,-10.00000010905148,-10.00000010905148,0.0,0.001564945226917058,50
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,50
trunk,Urban,,,0.0,0.0,50
primary,Rural,-40.0,-40.0,0.0,0.0,60
primary,Urban,-40.0,-40.0,0.0,0.0,60
secondary,Rural,-20.0,-20.0,0.0,0.0,60
secondary,Urban,,,0.0,0.0,60
tertiary,Rural,,,0.0,0.0,60
tertiary,Urban,-30.0,-30.0,0.0,0.0,60
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,60
trunk,Urban,,,0.0,0.0,60
primary,Rural,-40.0,-40.0,0.0,0.0,70
primary,Urban,-40.0,-40.0,0.0,0.0,70
secondary,Rural,-20.0,-20.0,0.0,0.0,70
secondary,Urban,,,0.0,0.0,70
tertiary,Rural,,,0.0,0.0,70
tertiary,Urban,-30.0,-30.0,0.0,0.0,70
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,70
trunk,Urban,,,0.0,0.0,70
primary,Rural,-40.0,-40.0,0.0,0.0,80
primary,Urban,-40.0,-40.0,0.0,0.0,80
secondary,Rural,-20.0,-20.0,0.0,0.0,80
secondary,Urban,,,0.0,0.0,80
tertiary,Rural,,,0.0,0.0,80
tertiary,Urban,-30.0,-30.0,0.0,0.0,80
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,80
trunk,Urban,,,0.0,0.0,80
primary,Rural,-40.0,-40.0,0.0,0.0,90
primary,Urban,-40.0,-40.0,0.0,0.0,90
secondary,Rural,-20.0,-20.0,0.0,0.0,90
secondary,Urban,,,0.0,0.0,90
tertiary,Rural,,,0.0,0.0,90
tertiary,Urban,-30.0,-30.0,0.0,0.0,90
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,90
trunk,Urban,,,0.0,0.0,90
primary,Rural,-40.0,-40.0,0.0,0.0,100
primary,Urban,-40.0,-40.0,0.0,0.0,100
secondary,Rural,-20.0,-20.0,0.0,0.0,100
secondary,Urban,,,0.0,0.0,100
tertiary,Rural,,,0.0,0.0,100
tertiary,Urban,-30.0,-30.0,0.0,0.0,100
trunk,Rural,-10.0,-10.0,0.0,0.16666666666666666,100
trunk,Urban,,,0.0,0.0,100
