Location,Total,Classification
Antipolo,887399,Urban
Bacolod,600783,Urban
Baguio,366358,Urban
Bayugan,109499,Rural
Butuan,372910,Urban
CDO,728402,Urban
Cebu,3325385,Urban
Cotabato,1275185,Urban
Dagupan,174302,Urban
Dasma,703141,Urban
Davao,5243536,Urban
GenSan,697315,Urban
Gingoog,136698,Rural
Ilagan,158218,Rural
Iloilo,2051899,Urban
Marawi,207010,Rural
Naga,209170,Urban
Naujan,109587,Rural
Ormoc,230998,Rural
Palimbang,92828,Rural
Puerto Princesa,307079,Urban
Quezon City,2960048,Urban
Samal,38302,Rural
SJDM,651813,Urban
San Carlos,205424,Rural
Santiago,19471,Rural
Sindangan,103952,Rural
Sorsogon,828655,Rural
Tabuk,121033,Rural
Tacloban,251881,Urban
Tarlac,1503456,Urban
Zamboanga,977234,Urban
