city,osm_id,name,highway,lanes,maxspeed,surface,bridge,tunnel,lit,sidewalk,oneway,cycleway,segment_length,segment_width,mean_curvature
Antipolo,797240837,1st Avenue,tertiary,2,20,asphalt,0,0,1,1,0,0,215.98586924855155,21.452200715400537,4.029038026430432e-06
Antipolo,1300589677,2nd Street,tertiary,2,40,concrete,0,0,0,0,1,0,45.358813370988926,26.897884076154252,0.024476724313130173
Antipolo,229527069,3rd Street,tertiary,2,40,concrete,0,0,0,0,1,0,65.61648851259667,24.772431301828956,0.009794226304666247
Antipolo,27945885,4th Street,tertiary,2,40,concrete,0,0,0,0,1,0,116.51854535747648,22.679970131475148,0.013781991651622921
Antipolo,27945883,6th Street,tertiary,2,40,concrete,0,0,0,0,0,0,177.32987030530086,23.66571374711767,0.0009727849707004066
Antipolo,28819598,A. Bonifacio Avenue,secondary,4,60,asphalt,1,0,1,1,1,1,2232.617627081694,33.10440160555126,0.0029378088028237347
Antipolo,27906577,A. Bonifacio Street,tertiary,4,40,concrete,0,0,1,1,1,0,649.0680529886439,24.76238356509342,0.0016623197075122259
Antipolo,883718855,A. M. de Leon Street,tertiary,2,40,concrete,1,0,0,1,1,0,521.6820224790335,36.16566395855126,0.0007022396341792568
Antipolo,99684272,A. Mabini Street,primary,2,80,asphalt,0,0,1,1,0,0,1668.849287023365,20.18770979704222,0.0016368150640932823
Antipolo,51767110,A. Masangkay Street,tertiary,2,40,asphalt,0,0,1,0,1,0,262.73467757513345,21.19379847892557,0.0006673073046363212
Antipolo,30269565,Abuab Road,tertiary,2,40,concrete,0,0,0,0,0,0,432.51046498992935,20.725166391518634,0.0007251469589459484
Antipolo,98690680,Abuab Ⅱ Road,tertiary,2,40,concrete,0,0,0,0,0,0,283.9388006301191,21.102784370949788,0.0038786765254934167
Antipolo,25519546,Accounting Street,tertiary,2,40,concrete,0,0,0,0,0,0,329.66149146685945,20.935214796551318,0.006196900981003503
Antipolo,26036876,Aguinaldo Street,tertiary,2,40,concrete,0,0,0,0,0,0,526.4409090357892,21.193502699881158,0.0023951694625235814
Antipolo,26302376,Amang Rodriguez Avenue,tertiary,2,40,concrete,0,0,1,1,1,0,1132.2508777409462,25.957548029407135,0.012680887562906995
Antipolo,4709409,Ambrosio F. Neri Street,tertiary,2,20,concrete,0,0,1,0,1,0,1714.4893137598062,20.36439758502673,0.0074623483289965546
Antipolo,55949422,Antipolo Diversion Road 1,primary,3,80,asphalt,0,0,1,0,1,0,434.3343564205997,26.49575524663389,0.014628081465377477
Antipolo,115377380,Antipolo Diversion Road 2,primary,2,80,asphalt,0,0,1,0,1,0,346.71617114640793,28.24291896802836,0.00043468650988685745
Antipolo,171403682,Apollo Street,tertiary,2,40,concrete,0,0,0,0,0,0,164.18380695909914,21.908763770128818,0.004781125139974995
Antipolo,30438402,Aquamarine Street,tertiary,2,20,concrete,0,0,1,1,0,1,369.8388446474173,23.164698201544585,0.0023273471973194017
Antipolo,5235848,Armscor Avenue,secondary,2,30,asphalt,0,0,1,1,1,0,504.1168403491495,20.62046576068944,0.009152128178949896
Antipolo,114637481,Aster Street,tertiary,2,40,concrete,0,0,1,1,0,0,54.333766481927334,31.548283866091168,0.009087315154794003
Antipolo,30704775,Autumn Extension Street,tertiary,2,20,concrete,0,0,1,1,0,0,50.92101928742133,26.159632169235703,0.000786967025217934
Antipolo,29086079,Avenida Tanchoco,tertiary,2,40,concrete,0,0,1,1,1,0,937.7304318685665,40.58749531363003,0.000909265999092209
Antipolo,5235844,Azucena Street,tertiary,2,30,concrete,0,0,1,1,0,0,364.26880663540334,20.861052227883842,0.0002134939924980826
Antipolo,27905622,B. A. Cruz Street,tertiary,2,40,concrete,1,0,0,0,1,0,629.5942049176628,32.22621552114715,0.0010043268090787131
Antipolo,5073937,B. Soliven Avenue,tertiary,2,40,concrete,0,0,0,0,1,0,863.4584046979454,20.36288621565088,0.001432342155571985
Antipolo,5137967,B. V. Soliven Avenue,secondary,2,60,concrete,1,0,1,0,0,0,217.17866948801455,30.59983072213674,0.0006367720967968742
Antipolo,5067172,Balite Street,secondary,2,30,asphalt,0,0,1,1,1,0,597.74297736112,20.521846151927562,0.008787388390886821
Antipolo,7971852,Balubad Street,tertiary,2,30,asphalt,0,0,1,1,0,0,390.39306676376685,20.803369537004244,0.0009727821899784966
Antipolo,30269453,Bankers Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,954.0419447200665,21.034601823318443,0.00365430766131215
Antipolo,132508406,Bantay-Pinugay Road,tertiary,2,40,concrete,0,0,0,0,0,0,1321.339204682217,20.235435464364908,0.00414770015810216
Antipolo,50283363,Baras-Pinugay Road,tertiary,2,40,concrete,1,0,0,0,0,0,16476.6429061014,25.14777756017153,0.002927700790948702
Antipolo,144905294,Barcelona Street,tertiary,2,40,concrete,0,0,0,0,0,0,615.8018947108125,21.489798356363792,0.0006387037826781462
Antipolo,4357062,Bayan-Bayanan Avenue,secondary,4,40,asphalt,1,0,1,1,1,1,1449.2332931532478,31.11397593465573,0.00228418479317759
Antipolo,134381163,Bayugo-Buliran Road,tertiary,2,40,concrete,0,0,1,0,1,0,2235.749409706557,32.67051800701306,0.0031430829362615762
Antipolo,557498394,Belgium Street,tertiary,2,40,concrete,0,0,0,0,0,0,474.11447285613724,23.114058045195932,0.003018522267991589
Antipolo,114654397,Bishop Street,tertiary,2,40,concrete,0,0,0,0,0,0,108.50912258599979,22.88883452562365,0.006139829314007565
Antipolo,5051052,Bon River Street,tertiary,2,40,concrete,0,0,0,0,0,0,385.103090674936,25.66582393055199,0.002471526632161619
Antipolo,5051049,Bonanza Street,tertiary,2,40,concrete,0,0,0,0,0,0,456.9108421614998,20.684319016732914,0.004032036735577505
Antipolo,28321133,Bonifacio Mariano Street,tertiary,2,40,concrete,0,0,0,0,0,0,1147.0785200995722,20.272421080379868,0.002069606399013215
Antipolo,204360546,Boso-Boso Road,tertiary,2,40,concrete,0,0,0,0,0,0,2237.4788307511553,20.28895185220735,0.0035316748667609784
Antipolo,275299485,Botong Francisco Road,tertiary,2,40,concrete,0,0,0,0,0,0,1788.2075764786891,21.527210782542156,0.0005829474808775404
Antipolo,26302583,Buen Mar Avenue,tertiary,2,40,asphalt,0,0,0,1,1,0,1722.216254559582,25.760678561774927,0.01650901709069861
Antipolo,95783377,Burgos,tertiary,2,40,concrete,0,0,0,0,0,0,231.0939447541248,21.356958199957827,0.0019162179540348789
Antipolo,670993215,C-5 Road,tertiary,2,40,concrete,0,0,0,0,1,0,714.0228060892871,21.807634379293017,0.0049533224628629385
Antipolo,27906093,C-6 Extension,primary,2,80,asphalt,1,0,0,1,1,0,275.13258889555334,37.693064035819454,7.231673182144473e-05
Antipolo,28664416,C-6 Kambal Road,secondary,2,60,concrete,1,0,1,1,1,0,7492.01490230031,28.2091613730887,0.00280251132482869
Antipolo,51760457,C. Lawis Extension,tertiary,2,40,asphalt,1,0,1,1,0,0,2894.8986549450806,23.996827811666666,0.002699265122168258
Antipolo,23212224,C. Lawis Street,tertiary,2,40,concrete,1,0,1,1,1,0,1104.6620515848497,27.3179699003143,0.0003981783461106777
Antipolo,5235834,C. M. Recto Street,tertiary,2,30,asphalt,0,0,1,1,1,1,1188.8344965968734,24.621513666085974,0.003934386874361638
Antipolo,28441496,Cabrera Road,secondary,2,60,concrete,1,0,1,1,1,0,4393.294930822844,30.51057368144204,0.003385002401185784
Antipolo,25845123,Camden Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,770.8305698099575,22.47330231441833,0.0034139840238506464
Antipolo,25776002,Carlos Street,tertiary,2,40,concrete,0,0,0,0,0,0,320.246292183987,20.979415726141568,0.0002262439876771134
Antipolo,35193885,Casimiro A. Ynares Sr. Boulevard,secondary,4,60,asphalt,1,0,1,1,0,0,3466.0839761528205,50.15123065199891,0.0002859675221637543
Antipolo,70449249,Cattleya Street,tertiary,2,40,concrete,0,0,0,0,0,0,149.45305037511588,22.0959612117021,0.006934785552509234
Antipolo,4357045,Champaca Street,tertiary,2,30,asphalt,0,0,1,1,0,0,3167.943377731104,21.187327451003092,0.0025998087275175075
Antipolo,4794431,Champagnat Street,tertiary,2,40,asphalt,0,0,1,1,0,0,1215.2366859667366,34.047092081604006,0.002306425228078078
Antipolo,147955250,Chestnut Street,tertiary,2,40,concrete,1,0,1,0,0,0,1031.9490990375261,29.587023908040084,0.000707331046109741
Antipolo,25776185,Chickadee,tertiary,2,40,concrete,0,0,0,0,0,0,456.81454234797934,20.686485297645287,0.0012162341441136466
Antipolo,551555320,Chile Street,tertiary,2,20,asphalt,0,0,1,1,0,0,847.9408441090619,22.047867062597355,0.0002897975521317591
Antipolo,57884305,Clifton,tertiary,2,40,concrete,0,0,0,0,0,0,309.8155502669718,21.011583748446945,0.003607711397905299
Antipolo,32506737,Coconut Palm Street,tertiary,2,40,concrete,0,0,0,0,0,0,209.93511175117115,21.494056025586744,9.439544524202764e-06
Antipolo,23087110,Cogeo Avenue,tertiary,2,40,concrete,1,0,0,0,0,0,1291.4557913035871,23.40544584428031,0.002229848225281304
Antipolo,4928879,Colonel S. Cruz Street,tertiary,2,40,asphalt,0,0,1,0,0,0,1411.622744469469,20.222064322039735,0.0013276772234210163
Antipolo,165278162,Columbus Street,tertiary,2,40,concrete,0,0,0,0,0,0,166.90574764901683,21.879233336870232,8.352943670289804e-05
Antipolo,23618458,Corazon C. Aquino Avenue,primary,4,80,asphalt,1,0,1,1,1,0,7243.958872746456,31.82902755155342,0.003389340059997006
Antipolo,27906797,Cosmos Street,tertiary,2,40,paved,0,0,0,0,0,0,245.84372427551327,21.275212092375646,0.0033006011268365406
Antipolo,51759476,Cottonwood Drive,tertiary,2,40,concrete,0,0,0,0,0,0,721.1479410241491,28.02350418253712,0.001133632518873482
Antipolo,25776145,Countryside Drive,tertiary,2,40,concrete,1,0,0,0,0,0,456.71831660380855,25.910471079603997,0.002284737134531187
Antipolo,380038046,Crestwood Drive,tertiary,2,40,concrete,0,0,0,1,1,0,221.8025592621907,25.68641135127501,0.0010373180466637735
Antipolo,90129607,Crocus Street,tertiary,2,40,concrete,0,0,0,0,0,0,209.4543334538949,21.49714818942514,0.002549445882333456
Antipolo,858953960,DOMSA,secondary,4,60,concrete,0,0,1,0,0,0,1829.9307598241148,24.689120376310406,0.0018362844999128426
Antipolo,28810477,Daang Bakal Street,tertiary,2,40,concrete,1,0,1,1,0,0,9704.841862450285,27.184381140637672,0.0016055302301018802
Antipolo,47483703,Daisy Street,tertiary,2,40,concrete,0,0,0,0,0,0,336.54947272001857,22.466749166963755,0.0009162044685996464
Antipolo,27906362,Dandelion Street,tertiary,2,40,concrete,1,0,0,0,0,0,612.9041441862928,28.103355665623614,0.0007711505006872377
Antipolo,27945882,Dansalan Street,tertiary,2,40,concrete,0,0,0,0,0,0,101.8585087803532,37.81175064555569,0.007783855486455994
Antipolo,25776161,De Los Angeles Drive,tertiary,2,40,concrete,0,0,0,0,0,0,404.76813345283585,21.81728934369119,0.0013218112785518988
Antipolo,5067234,De Los Santos Avenue,tertiary,2,30,concrete,1,0,0,0,0,0,480.99742765630845,23.087270704513294,0.0036437688887377482
Antipolo,319509963,Dela Paz Street,tertiary,2,40,concrete,0,0,0,0,1,0,145.2586235742643,22.15887290559196,0.0035203122807827645
Antipolo,106522339,Dely Street,tertiary,2,40,concrete,0,0,0,0,0,0,475.8451831526307,22.207064876864195,0.006080719117271865
Antipolo,93014428,Diego Silang Street,tertiary,2,40,concrete,0,0,0,0,0,0,101.3453124292537,23.09479253844558,0.001953909911295737
Antipolo,235595000,Dinar Street,tertiary,2,40,concrete,0,0,0,0,0,0,593.5634221841362,28.706078723459907,0.00040830560859840174
Antipolo,671166468,Diversion Road,tertiary,2,40,concrete,0,0,0,0,0,0,670.5047980949988,20.447380736201602,0.008071476613414228
Antipolo,26470412,Doctor J. San Juan Street,tertiary,2,40,asphalt,0,0,1,1,1,0,177.37045026663984,25.648926432780627,0.012567473636212759
Antipolo,57884293,Don Celso Tuason,tertiary,2,40,concrete,0,0,0,0,0,0,1298.4879487729486,20.719445672197434,0.005286533409985789
Antipolo,31536714,Don Celso Tuason Avenue,tertiary,2,40,concrete,1,0,1,1,0,0,4539.98545668461,30.74114046321008,0.0012981437341787999
Antipolo,236150346,Don Hilario Cruz Avenue,tertiary,4,40,concrete,0,0,1,1,1,0,2416.5340317486152,35.11514690657941,0.0005976100850987585
Antipolo,26036879,Don Juan,tertiary,2,40,concrete,0,0,0,0,0,0,579.9391885109227,21.163341386378157,0.007098507258139634
Antipolo,1150416953,Don Lorenzo,tertiary,2,40,concrete,0,0,0,0,0,0,152.95241224055866,22.048266730923462,0.006041960426818889
Antipolo,27905896,Don Macario Javier,tertiary,2,40,concrete,0,0,0,0,0,0,108.50527623210837,22.888994220477755,0.00849726215469045
Antipolo,25543310,Dona Juliana Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,984.3238881092291,20.31685467876978,0.0028761060111066
Antipolo,6492347,Doña Justina Avenue,tertiary,2,40,concrete,1,0,0,0,1,0,1484.6162462538168,25.538869437185944,0.011491103604172116
Antipolo,25843175,E. Rodriguez Avenue,primary,5,80,asphalt,0,0,1,1,1,0,4885.926545084434,29.353129788122317,0.009278888360316111
Antipolo,4928881,E. Rodriguez Highway,primary,2,80,asphalt,1,0,1,1,1,0,3981.0533637683016,21.27882721273205,0.0005361390052834634
Antipolo,166090987,E. Rodriguez Street,tertiary,2,40,asphalt,0,0,1,0,0,0,1013.1189888088634,28.411781937964378,0.00042511370541694043
Antipolo,4357063,East Drive Street,tertiary,2,30,asphalt,0,0,1,1,0,0,1701.7915947154202,30.16732982443951,0.008610637874732329
Antipolo,44774056,Eastville Avenue,tertiary,2,40,concrete,0,0,0,0,0,0,885.0194591756172,21.16194945961628,0.006533738483587491
Antipolo,38860877,Eastwood Road,secondary,2,60,concrete,1,0,1,1,1,0,2779.57391871971,23.77878369218616,0.010622017649824459
Antipolo,98695530,England Street,tertiary,2,40,concrete,0,0,0,0,0,0,145.55893371343757,22.154721297592705,0.002213381816009327
Antipolo,30125392,Everlasting Street,tertiary,2,40,concrete,0,0,0,0,0,0,223.71989420620713,21.401997853994057,9.478979575299593e-05
Antipolo,4794383,F. Balagtas Street,secondary,2,30,asphalt,0,0,1,1,0,0,656.2245163647365,29.204224211930732,0.0005137647733243901
Antipolo,5019257,F. P. Felix Avenue,secondary,2,60,asphalt,0,0,1,1,1,0,4418.37688259295,30.44073376344388,0.0004856781572149449
Antipolo,35125831,Falcon Avenue,tertiary,1,40,concrete,0,0,0,0,1,0,74.06579068210391,24.23481330063861,0.0003170064479373441
Antipolo,22770730,Felix V. Manalo Street,tertiary,2,40,concrete,0,0,0,0,0,0,644.3729221720625,20.985698562278067,0.0012499552874669514
Antipolo,167955480,Fermina Compound,tertiary,1,40,concrete,0,0,0,0,1,0,165.9354982396676,21.875999135337008,0.01883008886016508
Antipolo,4948685,Fifth Street,tertiary,2,20,asphalt,0,0,1,1,1,0,357.5892412711199,20.8758699059622,0.004530987584824197
Antipolo,23618468,Filipinas Avenue,tertiary,2,40,concrete,1,0,0,0,0,0,1360.8578059551578,27.81382607668943,0.0026063035824880286
Antipolo,912288621,Florendo,tertiary,2,40,concrete,0,0,0,0,0,0,216.32094181134065,21.449358709240933,0.0028389251990202074
Antipolo,42400837,Fortune Avenue,secondary,2,30,asphalt,0,0,1,1,0,1,974.420674627836,24.316035633579016,0.0069675622407351055
Antipolo,4794437,G. del Pilar Street,tertiary,2,30,concrete,0,0,1,1,0,0,607.7335045722098,21.066042032944,0.001338408555463643
Antipolo,23087112,GSIS Avenue,tertiary,2,40,concrete,1,0,0,0,0,0,817.6831040251529,25.230146278862204,0.001684842469423855
Antipolo,7978474,General A. Luna Street,primary,4,80,concrete,1,0,1,1,1,1,5300.469957939201,32.8712907605953,0.0029013352935948447
Antipolo,172949019,General A. Ricarte Street,tertiary,2,40,concrete,1,0,0,1,0,0,1014.6508920290149,30.641692702099707,5.461237522116243e-05
Antipolo,4893513,General B. G. Molina Street,tertiary,2,30,asphalt,0,0,1,1,0,0,1457.1310880046144,22.444632522765733,0.0052922645746380755
Antipolo,23212241,General Luna Street,secondary,2,60,concrete,0,0,1,1,1,0,1007.6914793945832,24.117513669723035,0.0006777404463930042
Antipolo,4357049,General Ordoñez Street,secondary,2,40,asphalt,1,0,1,1,0,1,4300.27196131305,38.260652760607236,0.0010735198578163817
Antipolo,884700472,Gertrudes Street,tertiary,2,40,concrete,0,0,0,0,0,0,961.9013069189918,20.32503704534856,0.0036669570789157123
Antipolo,55806188,Gladiola Street,tertiary,2,40,concrete,0,0,0,0,0,0,12.097905487395177,45.926296986553325,0.007023328153622289
Antipolo,23260721,Gloria Extension,tertiary,2,40,asphalt,0,0,0,0,0,0,249.3897936275293,21.25602504064708,0.004923108650589349
Antipolo,29395752,Gloria Street,tertiary,2,40,asphalt,0,0,0,0,1,0,228.71714458323805,21.37125492574257,0.0009251569137683816
Antipolo,120416945,Golden City Drive,tertiary,2,40,concrete,0,0,0,0,0,0,599.4309470251422,26.06564858286306,0.002605242724724401
Antipolo,27907303,Goldenrain Street,tertiary,2,40,concrete,0,0,0,0,0,0,259.9928325074768,21.204578631915314,0.004086407807449338
Antipolo,380259872,Gomez 1 Street,tertiary,2,40,concrete,0,0,0,0,1,0,52.62818656317583,36.084502244671526,0.00018274745252162624
Antipolo,887401716,Gomez Street,tertiary,2,40,concrete,0,0,0,0,0,0,78.56206821414918,33.39202135231478,0.000117418445268184
Antipolo,135972866,Havila Link Road,tertiary,4,40,concrete,0,0,0,0,1,0,2828.9467030489145,25.116597511023194,0.008024364469586242
Antipolo,135969077,Highlands Avenue,tertiary,4,40,concrete,0,0,0,0,1,0,563.2430048088595,26.5962911729077,0.012456895163767998
Antipolo,135970545,Highlands Avenue Extension,tertiary,4,40,concrete,0,0,0,0,1,0,573.0708645017139,40.59755322728969,0.024354155757514352
Antipolo,164906835,Highway 2000,primary,4,80,concrete,1,0,1,1,1,0,1771.1441897857426,30.74792094085603,0.0044056224493591286
Antipolo,26948964,Highway 2000 Phase 2,tertiary,2,40,concrete,1,0,0,1,0,0,410.3656879787718,26.737711753078585,0.0008180713675439755
Antipolo,1300377032,Hope Street,tertiary,2,40,concrete,0,0,0,0,0,0,16.689765346936763,38.75620817213657,0.06191175117693028
Antipolo,5051032,Horizon Street,tertiary,2,40,concrete,0,0,1,1,1,0,600.7225705049207,21.085692733701286,0.003534051724525766
Antipolo,90625309,Hunter's ROTC Guerilla Avenue,tertiary,2,40,asphalt,1,0,1,1,1,0,942.3690599757119,25.407762788595537,0.0007114042116049398
Antipolo,24338983,Ilang-Ilang Street,tertiary,2,40,concrete,0,0,0,0,1,0,223.46809084849693,26.380362611078354,0.002946493771475278
Antipolo,911226737,Ipil Street,tertiary,2,40,concrete,0,0,0,0,0,0,25.050968729783378,32.52064573801228,0.002808582902970216
Antipolo,90625303,J. Buenviaje Street,tertiary,2,40,asphalt,1,0,1,1,1,0,252.28002461501018,29.56708049897116,0.0008539430898230246
Antipolo,26470338,J. G. Garcia Sr. Street,tertiary,2,40,asphalt,0,0,1,1,1,0,258.70950251638504,21.211278945180283,0.004300068081837756
Antipolo,4948715,J. Molina Street,tertiary,2,20,asphalt,1,0,1,1,0,1,820.4983265245335,32.142023892200655,0.0032531349580908102
Antipolo,47785630,J. P. Rizal Avenue,secondary,2,60,asphalt,1,0,1,1,0,0,1474.1856057819996,28.566553792186728,0.0047982496427554635
Antipolo,225595157,J. Sumulong Street,tertiary,2,40,asphalt,0,0,0,1,0,0,173.40301322151805,23.79535556944229,0.005640661994749052
Antipolo,55916432,J.P. Rizal Street,secondary,2,60,concrete,1,0,1,1,1,0,590.323595218164,28.80853535764922,0.0032993305866302557
Antipolo,1089074095,Japan Street,tertiary,2,30,concrete,0,0,1,1,0,0,64.31640366287785,24.876747292355812,1.1951634613819561e-05
Antipolo,70449255,Jasmin Street,tertiary,2,40,concrete,0,0,0,0,0,0,110.41389159216924,22.839543837080562,0.006609648712950422
Antipolo,27904928,Jasmine Street,tertiary,2,40,paved,1,0,0,0,0,0,873.4483601499362,30.058056527586512,0.0006098625080114927
Antipolo,4372940,Jose P. Rizal Street,primary,2,40,asphalt,0,0,1,1,0,1,1558.8083270296556,26.62263481694708,0.00011162930851690836
Antipolo,23212220,Juan Sumulong Street,tertiary,2,40,concrete,1,0,1,1,1,0,1064.9414952966001,24.840692171230074,0.0001537323643817522
Antipolo,171414984,Kadalagahan Street,tertiary,2,40,concrete,0,0,0,1,0,0,93.59363166281592,23.350731628590495,0.004536115059217682
Antipolo,30177168,Kambal Road,secondary,2,60,concrete,0,0,1,0,0,0,4256.550238164408,21.637417918545705,0.0030820084457105403
Antipolo,675752095,Kamia Street,tertiary,2,40,concrete,0,0,0,0,0,0,861.7450155290728,20.352597888051392,0.011465560862375667
Antipolo,27906491,Kapalaran Street,tertiary,2,40,concrete,0,0,1,1,0,0,266.9130977083924,26.33733607416711,0.0009291978509409559
